C_id,C_name,C_desc,C_place,C_funding_stage,C_industry,C_fund_size,C_link,C_img
1,Liminary,"Liminary is the AI-native knowledge management and recall tool.  With the product, it's seamless and easy to save knowledge in any format that it comes in - webpage, PDF, YouTube video, AI chats, desktop files, and more. Liminary then draws on your knowledge graph to help you do your work more efficiently.",USA,Idea (Pre-Seed),AI,$3m,https://liminary.io/,https://framerusercontent.com/images/jXQ0mbnMiBhvn1DHk0kOdKUoo2g.jpeg?
2,Wabi,"Wabi is reimagining how software is made and shared. We’re building the future of personal software — tiny, delightful mobile mini-apps that anyone can create, remix, and share instantly. Think vibe coding, but designed for everyday users, not developers — with sleek, playful consumer-grade interfaces that make building feel as natural as texting.",USA,Idea (Pre-Seed),Consumer,$20m,https://wabi.ai/,https://framerusercontent.com/images/tamOlRMOZyBtBEyp0ph0VDmg47g.jpg
3,Aniva Health,"Your personal Health Operating System: 140+ biomarkers, monthly supplement packs, expert guidance. Built for people who don't have time to guess.",Finland,Idea (Pre-Seed),Health & Wellness,$1m,https://aniva.health/,https://framerusercontent.com/images/2yLEEniRCYAa7Spf1dhqhQO6aI.jpeg
4,Item,"The AI-native system that understands your business, knows your customers, and does the work — Designed to replace your CRM.",USA,Idea (Pre-Seed),Productivity,$1m,https://www.item.app/,https://framerusercontent.com/images/aB5cMRtD9965PLwmYNnRBWeIuY.png
5,Lunos,"Lunos is an AI accounts receivable partner, not just a tool. It works alongside your finance team like an always-on colleague, chasing down invoices, handling customer replies, and driving results without the repetitive admin. Hiring in NYC and London, onsite.",USA,Idea (Pre-Seed),Fintech,$5m,https://www.lunos.ai/,https://framerusercontent.com/images/eok90qALZUzdBIyjsyKKgcoRyrM.jpeg
6,Nox Metals,"Nox Metals is building the fastest processing metals factory in North America. Their software runs quoting, scheduling, and operations to streamline production and reduce cost. They supply CNC shops with custom-cut material at unmatched speed and efficiency.",USA,Idea (Pre-Seed),Hardware,$4m,https://www.noxmetals.co/,https://framerusercontent.com/images/XBuf0dsTnPP1a7U6sANkS5cFOk.png
7,Cradle,Leverage AI to generate protein candidates and improve their properties. More breakthroughs in fewer experiments — guided by your own experimental data.,Netherlands,Scaling (Series B),Biotech,$73m,https://www.cradle.bio/,https://framerusercontent.com/images/9h1rHx8TRRQOlQ4Q5hrT51pr1qI.jpeg
8,Polars,"Polars is a lightning fast DataFrame library/in-memory query engine. Its embarrassingly parallel execution, cache efficient algorithms and expressive API makes it perfect for efficient data wrangling, data pipelines, snappy APIs and so much more.",Netherlands,Early revenue (Series A),DevTools,$21m,https://pola.rs/,https://framerusercontent.com/images/DHxdkKY952op0U4LGNukl3v6m7g.jpeg
9,KeyCard,"Keycard is on a mission to redefine machine identity for the Internet—helping developers seamlessly connect people, agents, and services across networks, clouds, and applications. As AI-driven workflows grow more complex, Keycard’s dynamic, identity-based credentials ensure every agent and service operates with precise, contextual permissions.",Canada,Early revenue (Series A),AI,$38m,https://www.keycard.ai/,https://framerusercontent.com/images/JXHFrSRD1z8sa7dRzgMCamVozNA.png
10,Othership,"Othership is a space for transformation. Explore the sauna to sweat, ice baths to drop-in and a commons to be yourself with others. Embark on a shared journey to regulate yourself and your emotions, in a world that can’t be regulated, and expect to shift your state in more ways than one.",Canada,Early revenue (Series A),Health & Wellness,$11m,https://www.othership.us/,https://framerusercontent.com/images/R5ziBGU2skBmcaofMYJD8fgQI.png
11,Eli Health,"Eli Health is building the real-time interface to the human body, making it possible to improve both daily and lifelong health through instant access to essential biological signals. Its flagship product, the Hormometer™, is the first instant hormone monitoring system—delivering results from a saliva sample to your phone in minutes.",Canada,Early revenue (Series A),Health & Wellness,$12m,https://eli.health/,https://framerusercontent.com/images/HiVVQ5TyBggw1LaSXHCOo9NfI.png
12,Lithic,"Lithic creates card issuing and payment infrastructure for technology companies that just works. We help some of the world’s fastest-growing digital banks, fintech companies, and software companies process billions in transactions annually.",USA,Growth (Series C/D),Fintech,$60m,https://www.lithic.com/,https://framerusercontent.com/images/8CBZTwNmqPlBwjaP4JGzBLpPBTA.jpeg
13,Speak,"Speak is a language learning app that sets users on the path to fluency with the world’s most advanced AI tutor. Built on the core learning philosophy of getting users speaking out loud as much as possible, Speak's AI language-learning experience encourages dynamic two-way dialogue through personalized content and real-time speech recognition.",USA,Growth (Series C/D),Education,$78m,https://www.speak.com/,https://framerusercontent.com/images/alPBHm4D6NhgFX9l6Rs93DhuL6Y.jpeg
14,Airbound,"Airbound is building the world's most advanced drones to reduce the cost of delivery by over 137x. By improving structural efficiency by 7x and aerodynamics by 6x, their drones create a world where no delivery costs more than a nickel.",India,Prototype (Seed),Aerospace,$9m,https://www.airbound.com/,https://framerusercontent.com/images/4X227n9YS4Td8b6HoBFVGSso.png
15,RockFi,"A French Fintech created in 2023, RockFi is redefining Private Wealth Management through its network of independent financial advisors and the technological development of its back- and middle-office.",France,Early revenue (Series A),Fintech,$19m,https://www.rockfi.fr/,https://framerusercontent.com/images/AKZQdpFcMDCqIK4GQHyKbnfbuEQ.jpeg
16,Pivot,"Pivot is the ultimate modern Source-to-Pay tool to help you keep your spend under control, reduce your vendors risk at scale and empower your business teams.",France,Scaling (Series B),Fintech,$40m,https://www.pivotapp.ai/,https://framerusercontent.com/images/P3pUhZoR1kbjnc9BsOK2SNiE4ZQ.jpeg
17,Rayan,"Rayon is a collaborative space design platform that allows designers to draw, share, and collaborate directly in their browsers. With Rayon, developers can design spaces faster than ever before, using block libraries, smart drawing features, and more, as well as seamlessly share their work and collect feedback and annotations. ",France,Prototype (Seed),Design,$4m,https://www.rayon.design/,https://framerusercontent.com/images/VSWxvD2naGjvC1uFosImGk8iozg.jpeg
18,Lyric,"At Lyric, we empower supply chain organizations to innovate on their own terms. The Lyric Studio harmonizes large data, advanced supply chain science, configurable workflows, and professional-grade apps all in one place. Whether using a Ready App, no-code configurations, or custom algorithms, we enable every team member to contribute to smarter, more sustainable supply chain solutions.",USA,Scaling (Series B),Transportation,$43m,https://startups.gallery/companies/lyric,https://framerusercontent.com/images/X1D3R2aP2wQoR3aVJxjYcjc4TLM.jpeg
19,Neko,Neko Health is a Swedish health-tech company co-founded in 2018 by Hjalmar Nilsonne and Daniel Ek. Neko's vision is to create a healthcare system that can help people stay healthy through preventive measures and early detection. This requires completely reimagining the patient's experience and incorporating the latest advances in sensors and AI.,Switzerland,Scaling (Series B),Health & Wellness,$260m,https://www.nekohealth.com/gb/en,https://framerusercontent.com/images/UIAB9G3Z2SuZ5B4TSKN4u2j5Q.jpeg
