c_id,u_id,like_or_not
733,1,-1
37,1,1
334,1,-1
706,1,-1
535,1,-1
464,1,-1
25,1,0
502,1,-1
93,1,-1
257,1,-1
46,1,-1
534,1,-1
695,1,0
682,1,1
497,1,-1
486,1,-1
141,1,-1
130,1,-1
407,1,-1
291,1,-1
582,1,-1
443,1,-1
412,1,-1
50,1,0
376,1,-1
496,1,-1
242,1,-1
111,1,-1
756,1,0
667,1,-1
613,1,-1
472,1,-1
473,1,-1
436,1,-1
432,1,-1
319,1,-1
29,1,0
565,1,-1
845,1,0
721,1,1
630,1,-1
545,1,-1
462,1,-1
265,1,-1
106,1,-1
331,1,-1
34,1,-1
317,1,-1
543,1,-1
313,1,-1
769,1,0
686,1,-1
149,1,-1
586,1,-1
240,1,-1
741,1,0
785,1,1
503,1,-1
295,1,-1
610,1,-1
528,1,-1
572,1,-1
807,1,-1
691,1,-1
300,1,-1
639,1,-1
646,1,0
351,1,-1
589,1,-1
237,1,-1
704,1,-1
248,1,-1
859,1,-1
79,1,-1
606,1,-1
625,1,-1
583,1,-1
201,1,-1
403,1,-1
780,1,-1
726,1,0
290,1,-1
772,1,-1
658,1,0
710,1,0
379,1,-1
203,1,-1
194,1,-1
690,1,-1
488,1,-1
758,1,-1
302,1,-1
642,1,-1
386,1,-1
9,1,1
826,1,0
629,1,-1
716,1,0
685,1,0
808,1,0
588,1,-1
777,1,-1
621,1,-1
294,1,-1
222,1,-1
570,1,-1
330,1,-1
661,1,0
803,1,1
269,1,-1
151,1,-1
233,1,-1
32,1,-1
505,1,-1
359,1,-1
89,1,-1
468,1,-1
519,1,-1
514,1,-1
365,1,-1
199,1,-1
51,1,-1
720,1,-1
742,1,1
701,1,-1
692,1,0
620,1,-1
703,1,-1
175,1,-1
839,1,-1
632,1,-1
42,1,-1
153,1,-1
185,1,-1
815,1,-1
509,1,-1
423,1,-1
671,1,0
30,1,-1
410,1,-1
835,1,0
250,1,-1
232,1,-1
616,1,-1
549,1,-1
336,1,-1
202,1,-1
11,1,-1
18,1,-1
441,1,-1
744,1,-1
14,1,0
504,1,-1
829,1,1
312,1,-1
817,1,0
65,1,-1
680,1,-1
793,1,-1
677,1,0
640,1,-1
173,1,-1
385,1,-1
230,1,-1
799,1,0
402,1,-1
511,1,-1
321,1,-1
792,1,0
119,1,-1
35,1,-1
453,1,-1
475,1,-1
435,1,-1
375,1,-1
650,1,0
476,1,-1
781,1,-1
416,1,-1
827,1,0
397,1,-1
820,1,0
623,1,-1
635,1,-1
43,1,-1
186,1,-1
786,1,0
174,1,-1
587,1,-1
303,1,-1
858,1,1
628,1,-1
593,1,-1
594,1,-1
555,1,-1
459,1,-1
252,1,-1
57,1,-1
382,1,-1
477,1,-1
762,2,-1
359,2,0
413,2,0
277,2,0
274,2,0
804,2,-1
845,2,0
8,2,-1
709,2,0
192,2,-1
681,2,0
256,2,0
576,2,-1
334,2,0
632,2,0
823,2,0
541,2,-1
640,2,0
188,2,-1
164,2,-1
205,2,-1
506,2,0
246,2,0
725,2,1
782,2,0
268,2,0
677,2,-1
858,2,1
276,2,0
807,2,-1
474,2,0
254,2,0
637,2,0
814,2,-1
248,2,1
104,2,-1
727,2,-1
267,2,0
563,2,0
138,2,-1
318,2,-1
756,2,0
416,2,0
593,2,-1
830,2,0
427,2,0
265,2,0
626,2,-1
839,2,-1
25,2,-1
2,2,0
519,2,-1
326,2,-1
520,2,-1
557,2,-1
308,2,-1
616,2,-1
513,2,0
841,2,-1
184,2,0
6,2,1
697,2,0
423,2,0
293,2,0
163,2,1
72,2,-1
353,2,-1
228,2,0
201,2,-1
524,2,-1
369,2,0
537,2,0
585,2,0
667,2,0
531,2,-1
64,2,0
569,2,0
752,2,0
720,2,0
411,2,0
389,2,1
521,2,-1
458,2,-1
764,2,0
122,2,-1
173,2,-1
478,2,0
202,2,-1
781,2,0
279,2,0
444,2,-1
194,2,-1
28,2,0
428,2,-1
607,2,0
850,2,-1
1,2,-1
536,2,0
200,2,-1
402,2,0
490,2,0
245,2,-1
266,2,1
154,2,-1
340,2,1
357,2,-1
706,2,0
18,2,0
19,2,0
324,2,-1
366,2,0
84,2,0
92,2,0
561,2,0
13,2,1
345,2,0
397,2,0
496,2,-1
123,2,0
475,2,0
582,2,-1
31,2,0
817,2,0
862,2,-1
749,2,-1
128,2,0
590,2,1
7,2,-1
704,2,-1
183,2,-1
417,2,0
212,2,-1
751,2,0
299,2,-1
842,2,0
497,2,0
70,2,0
151,2,0
811,2,1
305,2,1
278,2,1
133,2,1
316,2,0
142,2,0
528,2,0
124,2,1
485,2,-1
809,2,0
196,2,0
748,2,0
217,2,-1
108,2,0
716,2,-1
618,2,0
587,2,-1
545,2,0
660,2,-1
450,2,0
292,2,0
95,2,-1
198,2,-1
365,2,0
634,2,0
399,2,-1
479,2,0
60,2,-1
508,2,-1
252,2,-1
533,2,-1
341,2,0
61,2,0
530,2,0
106,2,1
12,2,0
735,2,0
43,2,0
447,2,-1
178,2,0
611,2,0
708,2,0
386,2,0
281,2,-1
229,2,1
314,2,-1
298,2,-1
860,2,0
296,2,0
724,2,0
216,2,0
656,2,0
559,2,-1
773,2,0
329,2,-1
467,2,0
527,2,0
462,2,-1
815,2,0
50,2,1
350,2,0
493,2,0
782,3,-1
672,3,0
490,3,0
111,3,-1
780,3,0
522,3,0
47,3,1
54,3,1
577,3,-1
310,3,0
526,3,-1
450,3,0
695,3,-1
717,3,-1
229,3,0
241,3,0
103,3,-1
379,3,-1
198,3,0
499,3,0
160,3,1
517,3,0
539,3,-1
425,3,-1
763,3,0
640,3,1
196,3,0
702,3,1
80,3,1
583,3,0
57,3,0
147,3,-1
790,3,-1
752,3,-1
50,3,1
594,3,-1
397,3,0
272,3,0
402,3,1
584,3,-1
246,3,0
680,3,0
91,3,1
400,3,0
732,3,-1
125,3,0
270,3,0
63,3,0
305,3,0
230,3,-1
115,3,1
837,3,0
240,3,-1
134,3,-1
380,3,-1
587,3,0
30,3,0
97,3,0
330,3,-1
41,3,-1
621,3,-1
527,3,-1
832,3,0
159,3,0
530,3,-1
267,3,0
538,3,0
359,3,-1
130,3,-1
809,3,0
492,3,-1
510,3,0
802,3,-1
257,3,1
622,3,0
651,3,0
562,3,-1
791,3,0
21,3,0
260,3,0
332,3,0
596,3,-1
644,3,-1
572,3,0
758,3,-1
630,3,-1
216,3,1
208,3,-1
120,3,0
857,3,0
507,3,-1
692,3,0
12,3,0
183,3,0
8,3,-1
360,3,0
570,3,-1
163,3,-1
126,3,-1
388,3,0
336,3,-1
803,3,0
452,3,0
84,3,-1
820,3,0
856,3,0
190,3,-1
372,3,0
42,3,-1
636,3,-1
544,3,0
269,3,-1
366,3,1
66,3,0
606,3,-1
40,3,0
124,3,-1
177,3,0
243,3,1
647,3,0
551,3,-1
603,3,-1
286,3,-1
132,3,0
52,3,-1
289,3,0
195,3,-1
107,3,0
74,3,-1
614,3,-1
