u_id,c_id,like_or_not
1,733,0
1,37,0
1,334,-1
1,706,-1
1,535,-1
1,464,-1
1,25,-1
1,502,-1
1,93,-1
1,257,-1
1,46,1
1,534,-1
1,695,-1
1,682,0
1,497,-1
1,486,-1
1,141,-1
1,130,-1
1,407,-1
1,291,-1
1,582,-1
1,443,-1
1,412,-1
1,50,-1
1,376,-1
1,496,-1
1,242,-1
1,111,-1
1,756,0
1,667,-1
1,613,-1
1,472,-1
1,473,-1
1,436,-1
1,432,-1
1,319,-1
1,29,0
1,565,-1
1,845,0
1,721,0
1,630,-1
1,545,-1
1,462,-1
1,265,-1
1,106,-1
1,331,-1
1,34,-1
1,317,-1
1,543,-1
1,313,-1
1,769,1
1,686,-1
1,149,-1
1,586,-1
1,240,-1
1,741,-1
1,785,0
1,503,-1
1,295,-1
1,610,-1
1,528,-1
1,572,-1
1,807,-1
1,691,1
1,300,-1
1,639,-1
1,646,-1
1,351,-1
1,589,-1
1,237,-1
1,704,0
1,248,-1
1,859,-1
1,79,-1
1,606,-1
1,625,-1
1,583,-1
1,201,-1
1,403,-1
1,780,-1
1,726,0
1,290,-1
1,772,0
1,658,0
1,710,0
1,379,-1
1,203,-1
1,194,-1
1,690,-1
1,488,-1
1,758,-1
1,302,-1
1,642,-1
1,386,-1
1,9,0
1,826,0
1,629,-1
1,716,-1
1,685,-1
1,808,0
1,588,-1
1,777,-1
1,621,-1
1,294,-1
1,222,-1
1,570,-1
1,330,-1
1,661,-1
1,803,0
1,269,-1
1,151,-1
1,233,-1
1,32,-1
1,505,-1
1,359,-1
1,89,-1
1,468,-1
1,519,-1
1,514,-1
1,365,-1
1,199,-1
1,51,-1
1,720,-1
1,742,0
1,701,0
1,692,0
1,620,-1
1,703,-1
1,175,-1
1,839,-1
1,632,-1
1,42,0
1,153,-1
1,185,-1
1,815,-1
1,509,-1
1,423,-1
1,671,0
1,30,-1
1,410,-1
1,835,-1
1,250,-1
1,232,-1
1,616,-1
1,549,-1
1,336,-1
1,202,-1
1,11,-1
1,18,1
1,441,-1
1,744,0
1,14,0
1,504,-1
1,829,0
1,312,-1
1,817,-1
1,65,-1
1,680,-1
1,793,-1
1,677,0
1,640,-1
1,173,-1
1,385,-1
1,230,-1
1,799,0
1,402,-1
1,511,-1
1,321,-1
1,792,0
1,119,-1
1,35,0
1,453,-1
1,475,-1
1,435,-1
1,375,-1
1,650,0
1,476,-1
1,781,-1
1,416,-1
1,827,0
1,397,-1
1,820,0
1,623,-1
1,635,0
1,43,-1
1,186,-1
1,786,1
1,174,-1
1,587,-1
1,303,-1
1,858,-1
1,628,-1
1,593,-1
1,594,-1
1,555,-1
1,459,-1
1,252,1
1,57,-1
1,382,-1
1,477,-1
2,762,0
2,359,0
2,413,0
2,277,0
2,274,-1
2,804,0
2,845,0
2,8,0
2,709,0
2,192,0
2,681,0
2,256,1
2,576,-1
2,334,0
2,632,0
2,823,0
2,541,0
2,640,0
2,188,-1
2,164,0
2,205,0
2,506,0
2,246,-1
2,725,-1
2,782,0
2,268,0
2,677,-1
2,858,-1
2,276,0
2,807,1
2,474,0
2,254,1
2,637,0
2,814,0
2,248,0
2,104,-1
2,727,-1
2,267,0
2,563,0
2,138,-1
2,318,0
2,756,0
2,416,0
2,593,-1
2,830,0
2,427,0
2,265,-1
2,626,0
2,839,-1
2,25,0
2,2,0
2,519,0
2,326,0
2,520,0
2,557,-1
2,308,0
2,616,0
2,513,0
2,841,0
2,184,-1
2,6,0
2,697,0
2,423,0
2,293,0
2,163,0
2,72,0
2,353,0
2,228,0
2,201,0
2,524,0
2,369,-1
2,537,0
2,585,0
2,667,-1
2,531,0
2,64,0
2,569,0
2,752,-1
2,720,0
2,411,0
2,389,1
2,521,1
2,458,-1
2,764,0
2,122,0
2,173,-1
2,478,-1
2,202,-1
2,781,0
2,279,0
2,444,-1
2,194,-1
2,28,0
2,428,-1
2,607,0
2,850,0
2,1,-1
2,536,0
2,200,0
2,402,-1
2,490,0
2,245,-1
2,266,0
2,154,0
2,340,0
2,357,0
2,706,1
2,18,0
2,19,-1
2,324,0
2,366,0
2,84,0
2,92,0
2,561,0
2,13,-1
2,345,0
2,397,0
2,496,-1
2,123,-1
2,475,-1
2,582,0
2,31,0
2,817,-1
2,862,-1
2,749,-1
2,128,-1
2,590,-1
2,7,0
2,704,-1
2,183,-1
2,417,0
2,212,-1
2,751,0
2,299,-1
2,842,0
2,497,0
2,70,-1
2,151,-1
2,811,-1
2,305,0
2,278,-1
2,133,-1
2,316,0
2,142,1
2,528,0
2,124,1
2,485,0
2,809,1
2,196,0
2,748,0
2,217,-1
2,108,0
2,716,0
2,618,0
2,587,-1
2,545,-1
2,660,0
2,450,0
2,292,-1
2,95,0
2,198,-1
2,365,-1
2,634,-1
2,399,-1
2,479,1
2,60,0
2,508,0
2,252,-1
2,533,0
2,341,-1
2,61,0
2,530,0
2,106,-1
2,12,0
2,735,-1
2,43,0
2,447,-1
2,178,-1
2,611,1
2,708,-1
2,386,0
2,281,0
2,229,0
2,314,0
2,298,0
2,860,0
2,296,0
2,724,-1
2,216,-1
2,656,0
2,559,0
2,773,-1
2,329,0
2,467,0
2,527,0
2,462,0
2,815,0
2,50,0
2,350,-1
2,493,0
3,782,0
3,672,-1
3,490,-1
3,111,-1
3,780,-1
3,522,0
3,47,0
3,54,0
3,577,-1
3,310,0
3,526,-1
3,450,0
3,695,-1
3,717,-1
3,229,0
3,241,0
3,103,0
3,379,1
3,198,0
3,499,-1
3,160,1
3,517,-1
3,539,-1
3,425,-1
3,763,-1
3,640,0
3,196,0
3,702,-1
3,80,0
3,583,-1
3,57,0
3,147,-1
3,790,1
3,752,0
3,50,0
3,594,0
3,397,0
3,272,-1
3,402,-1
3,584,-1
3,246,0
3,680,0
3,91,-1
3,400,0
3,732,0
3,125,0
3,270,-1
3,63,-1
3,305,0
3,230,-1
3,115,-1
3,837,0
3,240,0
3,134,-1
3,380,-1
3,587,-1
3,30,0
3,97,0
3,330,-1
3,41,-1
3,621,-1
3,527,-1
3,832,-1
3,159,0
3,530,-1
3,267,-1
3,538,0
3,359,-1
3,130,-1
3,809,1
3,492,-1
3,510,0
3,802,0
3,257,-1
3,622,-1
3,651,-1
3,562,0
3,791,0
3,21,0
3,260,0
3,332,0
3,596,-1
3,644,-1
3,572,0
3,758,-1
3,630,0
3,216,0
3,208,0
3,120,0
3,857,0
3,507,-1
3,692,0
3,12,-1
3,183,-1
3,8,-1
3,360,0
3,570,0
3,163,0
3,126,-1
3,388,-1
3,336,-1
3,803,0
3,452,0
3,84,0
3,820,0
3,856,0
3,190,-1
3,372,-1
3,42,1
3,636,-1
3,544,-1
3,269,1
3,366,0
3,66,0
3,606,-1
3,40,0
3,124,-1
3,177,0
3,243,-1
3,647,0
3,551,-1
3,603,-1
3,286,-1
3,132,0
3,52,0
3,289,-1
3,195,-1
3,107,-1
3,74,-1
3,614,0
3,746,0
3,601,-1
3,187,-1
3,268,-1
3,493,-1
3,604,-1
3,413,-1
3,766,0
3,121,-1
3,535,0
3,625,-1
3,719,0
3,353,0
3,455,-1
3,558,1
3,266,0
3,93,-1
3,4,-1
3,293,0
3,427,0
3,321,0
3,850,1
3,29,0
3,675,-1
3,797,0
3,853,-1
3,14,0
3,585,0
3,480,0
3,472,0
3,131,1
3,524,0
3,239,0
3,722,-1
3,735,0
3,712,0
3,504,0
3,156,0
3,170,1
3,154,-1
3,734,-1
3,501,-1
3,371,0
3,287,0
3,435,-1
3,484,0
3,314,-1
3,704,0
3,346,0
3,409,0
3,223,0
3,151,0
